County_Code,Age_Group,Probability,COMMUNITY,UNC,LARGE,SMALL,LT,NH
1,0,0.00017788306662252018,0,3.086387607273249e-05,0.00014319656033629123,3.822630213496474e-06,0,0.0
1,1,0.0002406804915905011,0,4.278953291956444e-05,0.00019168811338299868,6.202845287937971e-06,0,0.0
1,2,0.0007323265829232385,0,0.00010603718849661772,0.0004438127024176229,1.7562899539614758e-05,0,0.00016491379246938318
3,0,0.00014697677961491638,0,0.0,2.1152255278184754e-05,0.00012582452433673163,0,0.0
3,1,0.0001963445080506874,0,0.0,2.3913381066648813e-05,0.0001724311269840386,0,0.0
3,2,0.0006458522286117085,0,0.0,4.8984839485980646e-05,0.0004319535966563447,0,0.00016491379246938318
5,0,7.618065100197605e-05,0,0.0,0.0,7.618065100197605e-05,0,0.0
5,1,8.644493380303052e-05,0,0.0,0.0,8.644493380303052e-05,0,0.0
5,2,0.0003783088831140867,0,0.0,0.0,0.0002133950906447035,0,0.00016491379246938318
7,0,0.0001153027851559034,0,0.0,0.0,0.0001153027851559034,0,0.0
7,1,0.00018597638143649832,0,0.0,0.0,0.00018597638143649832,0,0.0
7,2,0.0006536682178939662,0,0.0,0.0,0.000488754425424583,0,0.00016491379246938318
9,0,0.00016058702854517394,0,0.0,5.752009207907643e-05,0.00010306693646609752,0,0.0
9,1,0.00019411464441601825,0,0.0,6.119571137323186e-05,0.0001329189330427864,0,0.0
9,2,0.0005740966423048074,0,0.0,0.00011191370092288858,0.00029726914891253564,0,0.00016491379246938318
11,0,0.0001432971444753835,0,0.0,0.0,0.0001432971444753835,0,0.0
11,1,0.000169339457839515,0,0.0,0.0,0.000169339457839515,0,0.0
11,2,0.0005620735713876171,0,0.0,0.0,0.00039715977891823385,0,0.00016491379246938318
13,0,0.00022553457196137906,0,0.0,0.00012721504783949205,9.831952412188701e-05,0,0.0
13,1,0.00023746382531352012,0,0.0,0.00012260347642461462,0.0001148603488889055,0,0.0
13,2,0.0006729537120291572,0,0.0,0.0002367720071798124,0.0002712679123799617,0,0.00016491379246938318
15,0,0.0002661894658662474,0,0.0,0.0001265817820921572,0.00013960768377409023,0,0.0
15,1,0.00025986551704856994,0,0.0,0.00011120018722849072,0.0001486653298200792,0,0.0
15,2,0.0007584841862467227,0,0.0,0.0002252680434602121,0.0003683023503171274,0,0.00016491379246938318
17,0,0.00017118029894910822,0,0.0,8.176748442375692e-05,8.94128145253513e-05,0,0.0
17,1,0.00021959291737063695,0,0.0,9.442758268625483e-05,0.00012516533468438212,0,0.0
17,2,0.0006936416466658412,0,0.0,0.00020172669584340013,0.0003270011583530578,0,0.00016491379246938318
19,0,0.00020751530642842543,0,0.0,0.00013613917940075317,7.137612702767226e-05,0,0.0
19,1,0.00018915818354517063,0,0.0,0.00011565560248590945,7.350258105926117e-05,0,0.0
19,2,0.0004894140057898951,0,0.0,0.00018259000493727137,0.00014191020838324062,0,0.00016491379246938318
21,0,0.00018005993164648667,0,4.017574672198499e-06,0.00016598292450807536,1.0059432466212821e-05,0,0.0
21,1,0.0002123743365353065,0,4.846342733310222e-06,0.0001933254797480566,1.4202514053939698e-05,0,0.0
21,2,0.0006128639532139415,0,1.0763287106476514e-05,0.00040114721752619945,3.603965611188237e-05,0,0.00016491379246938318
23,0,0.000146057861224493,0,2.0279475551740343e-06,2.906674263767921e-05,0.00011496317103163976,0,0.0
