,COMMUNITY,UNC,LARGE,SMALL,LT,NH,Death
COMMUNITY,0.0,111053.33761181071,463477.65397474606,298785.2329226011,0.0,100000.0,0.0
UNC,102317.87502814479,3839.8144064878925,341.3168361322571,85.32920903306427,330.4940635032496,13108.99255181296,2734.7475804169994
LARGE,439055.61995010497,305.24981942739475,11965.792921553875,2991.448230388469,1530.878770839108,50643.48621945907,13121.524088227141
SMALL,262468.80136341613,296.4617132927502,13073.961556210283,1452.662395134476,566.4587605611839,39870.25821363527,6070.355212226189
LT,1141.0808496046643,23.46507850873072,108.69239272957667,40.21857199984405,0.0,1090.0963861116902,24.278315949035413
NH,117105.97632989142,7240.241046003742,30646.58231862792,19013.10867084306,0.0,0.0,30706.925005652847
