county_fips,County,reduction_distance_traveled_Mar28,SD_score_Mar28,Population,square_miles,percent_rural,percent_fair_poor_health,Density,covid_cases,covid_deaths,cases_per_10k,density^2
37119,Mecklenburg,-0.47933489,4,1034290,546,1.065430805,14.45469995,1894.304029,495,1,4.785891771,3588387.755
37183,Wake,-0.518288457,4,1023811,857,6.101379256,12.61227074,1194.645274,234,0,2.2855781,1427177.331
37063,Durham,-0.454907254,4,300865,298,5.627702392,16.96340851,1009.614094,147,0,4.885912286,1019320.619
37067,Forsyth,-0.451913427,3.5,368362,413,7.346508113,18.5246167,891.9176755,56,1,1.520243673,795517.1399
37081,Guilford,-0.466067122,4,517197,658,12.69435674,15.81844114,786.0136778,71,1,1.372784452,617817.5017
37129,New Hanover,-0.445533038,3.5,219866,328,2.214963462,15.47695556,670.3231707,33,0,1.500914193,449333.1532
37071,Gaston,-0.391473136,2.5,214049,364,19.64762284,17.59317568,588.0467033,33,1,1.541703068,345798.9253
37025,Cabarrus,-0.440847452,3.5,196716,365,19.25330457,14.00991372,538.9479452,50,1,2.541735294,290464.8876
37051,Cumberland,-0.342172043,1.5,332766,658,13.36814523,22.22725112,505.7234043,25,0,0.751278676,255756.1616
37021,Buncombe,-0.454066485,4,252268,660,24.07959114,14.68369416,382.2242424,21,1,0.832448031,146095.3715
37035,Catawba,-0.303647789,2,156182,414,30.29515801,18.58791797,377.2512077,16,0,1.024445839,142318.4737
37001,Alamance,-0.325630838,2,157844,435,28.55800597,19.64620201,362.8597701,13,0,0.823597983,131667.2128
37135,Orange,-0.437450171,4,141812,401,28.53192428,13.45448411,353.6458853,37,0,2.609088088,125065.4122
37179,Union,-0.416720379,2,222095,640,27.28921169,14.18859737,347.0234375,55,0,2.476417749,120425.2662
37089,Henderson,-0.428066651,2,112156,375,33.27056399,16.01073207,299.0826667,22,0,1.96155355,89450.4415
37057,Davidson,-0.365083787,1.5,164118,567,47.38454549,17.31433842,289.4497354,35,0,2.132611901,83781.14935
37097,Iredell,-0.342299523,1.5,169798,597,37.91215339,14.44277675,284.4187605,31,0,1.825698771,80894.03131
37147,Pitt,-0.369576036,3.5,176484,655,25.43592549,19.76511012,269.4412214,29,0,1.643208449,72598.57178
37159,Rowan,-0.304999559,1.5,138940,524,38.82234808,15.84928931,265.1526718,31,1,2.231178926,70305.93934
37109,Lincoln,-0.351191681,1.5,80504,307,54.55312081,15.08012712,262.228013,8,0,0.993739442,68763.53082
37101,Johnston,-0.32348607,1.5,186308,796,52.03697344,16.84059946,234.0552764,20,1,1.073491208,54781.8724
37105,Lee,-0.287559928,1.5,59805,259,42.76431756,20.11820997,230.9073359,3,0,0.501630298,53318.19778
37191,Wayne,-0.278999211,1.5,124496,557,46.40401882,20.95641423,223.5116697,6,0,0.481943195,49957.46647
37195,Wilson,-0.299060646,1.5,81379,374,38.66115173,20.90858935,217.5909091,17,0,2.088991017,47345.80372
37085,Harnett,-0.331247264,1.5,128753,601,55.92092642,20.64400309,214.2312812,19,1,1.47569377,45895.04184
37133,Onslow,-0.355547771,1.5,192685,909,26.34891884,16.58140905,211.9746975,8,1,0.415185406,44933.27237
37045,Cleveland,-0.327797393,1.5,97038,469,55.79028936,17.91872094,206.9040512,7,0,0.721366887,42809.28639
37151,Randolph,-0.326140633,1.5,142827,790,56.2425927,16.94982985,180.7936709,19,0,1.330280689,32686.35143
37127,Nash,-0.332189068,1.5,94125,543,47.56260434,19.44432743,173.3425414,10,0,1.062416999,30047.63667
