county_fips,County,reduction_distance_traveled_Mar28,SD_score_Mar28,Population,square_miles,percent_rural,percent_fair_poor_health,Density,covid_cases,covid_deaths,cases_per_10k,density^2
37023,Burke,-0.294823455,1.5,88898,515,42.65223513,16.44519361,172.6174757,9,0,1.012396229,29796.79293
37027,Caldwell,-0.31306861,1.5,81805,474,34.42773007,16.7198273,172.5843882,3,0,0.36672575,29785.37105
37189,Watauga,-0.43893203,4,53421,313,55.43569765,18.53888695,170.6741214,7,0,1.310346119,29129.65572
37181,Vance,-0.223387326,1,44420,270,54.07952094,23.80835563,164.5185185,6,0,1.350742909,27066.34294
37157,Rockingham,-0.296925832,1.5,91566,572,61.94483304,18.43893522,160.0804196,2,1,0.218421685,25625.74073
37059,Davie,-0.318034555,1.5,41766,267,70.2885548,15.6521913,156.4269663,11,1,2.633721209,24469.39578
37167,Stanly,-0.380762599,1.5,60875,404,67.71313031,16.08882615,150.6806931,5,0,0.821355236,22704.67126
37107,Lenoir,-0.219654406,1,57934,402,45.00546264,20.78701233,144.1144279,3,0,0.517830635,20768.96832
37019,Brunswick,-0.362663635,1.5,122586,860,42.96059797,16.01547494,142.5418605,19,0,1.549932292,20318.18198
37003,Alexander,-0.305255658,1.5,37159,263,72.77810635,17.29672257,141.2889734,2,0,0.538227616,19962.574
37155,Robeson,-0.172850389,1,134187,951,62.6132908,29.46273457,141.1009464,3,0,0.223568602,19909.47707
37139,Pasquotank,-0.310913248,1.5,39546,289,41.31969209,18.02850909,136.8373702,7,0,1.770090527,18724.46589
37171,Surry,-0.301622598,1.5,72315,538,68.80539682,19.9530369,134.4144981,2,0,0.276567794,18067.25731
37093,Hoke,-0.277233554,1.5,52571,392,43.15045153,20.93340469,134.1096939,7,0,1.331532594,17985.40999
37049,Craven,-0.342816545,1.5,103374,774,27.70880634,16.61645094,133.5581395,7,0,0.677152862,17837.77664
37125,Moore,-0.365249508,1.5,94191,706,50.65781273,15.03065331,133.4150142,8,0,0.849338047,17799.566
37069,Franklin,-0.317128215,1.5,63866,495,85.31813458,18.14973123,129.0222222,12,0,1.878934018,16646.73383
37161,Rutherford,-0.395501374,1.5,66523,566,61.04114437,18.55207406,117.5318021,9,0,1.352915533,13813.72451
37197,Yadkin,-0.320179789,1.5,37825,337,84.67687341,18.14304545,112.2403561,4,0,1.057501652,12597.89753
37165,Scotland,-0.313956567,1.5,35445,321,48.39173604,27.89817356,110.4205607,2,0,0.564254479,12192.70024
37077,Granville,-0.281003199,1.5,58503,537,54.74998331,18.58392897,108.9441341,20,0,3.418628105,11868.82435
37087,Haywood,-0.387306382,1.5,59854,555,55.44074802,16.80267957,107.845045,0,0,0,11630.55374
37065,Edgecombe,-0.259331993,1.5,54032,507,45.30697411,24.88607658,106.5719921,4,0,0.740302043,11357.5895
37169,Stokes,-0.318394634,1.5,46124,456,75.69671526,14.53143316,101.1491228,2,0,0.433613737,10231.14504
37117,Martin,-0.278727558,1.5,45069,461,78.12283208,21.63870197,97.76355748,3,0,0.665646009,9557.713172
37145,Person,-0.263323694,1.5,39240,404,75.52199473,17.63954482,97.12871287,2,0,0.509683996,9433.986864
37037,Chatham,-0.389302842,1.5,68364,709,65.92236832,15.01713142,96.42313117,19,0,2.779240536,9297.420225
37153,Richmond,-0.355319201,1.5,45447,480,45.53056455,24.21009189,94.68125,0,0,0,8964.539102
37193,Wilkes,-0.274065354,1.5,68525,760,72.79059706,18.51479604,90.16447368,4,1,0.583728566,8129.632315
37175,Transylvania,-0.366481965,1.5,33291,381,59.63735268,15.83707611,87.37795276,5,0,1.501907422,7634.906628
37149,Polk,-0.318441724,2,20434,239,92.27206241,14.72833625,85.49790795,4,0,1.957521777,7309.892264
37099,Jackson,-0.541738272,4,41725,494,73.08981649,18.74226774,84.46356275,0,0,0,7134.093433
37079,Greene,-0.273547438,2,21059,266,100,22.69396388,79.16917293,4,0,1.899425424,6267.757943
37111,McDowell,-0.30773224,1.5,34160,446,70.30180461,19.62462835,76.59192825,8,0,2.341920375,5866.323473
37061,Duplin,-0.260836115,1.5,59350,819,86.46440475,27.62386962,72.46642247,2,0,0.336983993,5251.382385
37083,Halifax,-0.304667269,1.5,52300,731,54.70552742,24.32787729,71.54582763,6,0,1.147227533,5118.805452
37011,Avery,-0.422157276,2,17535,247,88.78462662,17.66782362,70.99190283,0,0,0,5039.850268
37121,Mitchell,-0.372346207,1.5,15155,222,82.64330188,16.9738443,68.26576577,1,0,0.659848235,4660.214776
37091,Hertford,-0.217004591,1,24262,360,68.63675058,23.28654759,67.39444444,4,0,1.6486687,4542.011142
37163,Sampson,-0.252044734,1.5,63664,947,84.96318835,21.88208659,67.22703273,1,0,0.157074642,4519.47393
37009,Ashe,-0.330281824,1.5,26833,427,84.86492431,16.61960413,62.84074941,0,0,0,3948.959787
37141,Pender,-0.351024166,1.5,57630,933,68.75538618,17.1263635,61.76848875,0,0,0,3815.346202
37041,Chowan,-0.221777765,1,14370,233,67.61982019,21.4901989,61.67381974,0,0,0,3803.660042
37047,Columbus,-0.261359808,1.5,56589,954,80.59485697,23.1591266,59.31761006,2,0,0.353425577,3518.578864
37199,Yancey,-0.313993398,1.5,17605,313,100,16.98642672,56.24600639,0,0,0,3163.613235
37039,Cherokee,-0.40442457,2,27463,497,100,18.36132834,55.25754527,8,1,2.913010232,3053.396309
37123,Montgomery,-0.260912524,1.5,27445,502,76.83646306,20.89236029,54.67131474,8,1,2.914920751,2988.952656
37033,Caswell,-0.306746129,1.5,22833,428,99.1947384,19.47070983,53.34813084,1,0,0.437962598,2846.023064
37115,Madison,-0.364798106,3.5,23227,452,90.61837796,15.56878966,51.38716814,0,0,0,2640.64105
37031,Carteret,-0.40511643,2.5,68699,1341,32.60316839,14.1470217,51.22967934,13,0,1.892312843,2624.480046
37013,Beaufort,-0.23749376,1,47316,959,65.60020101,18.66869266,49.33889468,7,0,1.479414997,2434.326528
37043,Clay,-0.385055292,2,10753,221,100,16.89551082,48.6561086,2,0,1.859946062,2367.416904
37053,Currituck,-0.395262736,1.5,25247,526,98.31401028,13.92944039,47.99809886,2,0,0.792173328,2303.817494
37007,Anson,-0.329715665,1.5,25531,537,78.5104646,22.88310789,47.54376164,1,0,0.391680702,2260.409271
37005,Alleghany,-0.262978968,2,10935,236,100,18.87238443,46.33474576,2,0,1.828989483,2146.908665
37185,Warren,-0.309465659,2,20190,444,100,24.00907055,45.47297297,0,0,0,2067.791271
37113,Macon,-0.379284157,1.5,21347,519,80.01002299,16.68002352,41.13102119,1,0,0.468449899,1691.760905
37143,Perquimans,-0.310667493,2,13506,329,100,18.83308321,41.05167173,1,0,0.740411669,1685.239752
37017,Bladen,-0.109323105,1,34130,887,91.23330492,24.06417134,38.47801578,0,0,0,1480.557699
37131,Northampton,-0.144279528,1,20426,551,89.36603466,24.90073809,37.0707804,30,0,14.68716342,1374.242759
37029,Camden,-0.386935191,2,10336,306,99.5490982,13.66544046,33.77777778,0,0,0,1140.938272
37073,Gates,-0.191751161,1,11601,346,100,15.70877155,33.52890173,1,0,0.861994656,1124.187251
37187,Washington,-0.328892971,2,12331,424,67.75778651,24.19884546,29.08254717,2,0,1.621928473,845.7945499
37075,Graham,-0.363449297,2,8607,302,100,18.20532545,28.5,0,0,0,812.25
37015,Bertie,-0.161359001,1,19913,741,83.24405601,23.52277438,26.8731444,6,1,3.013107016,722.1658899
37173,Swain,-0.538639912,4,14208,541,100,22.40904198,26.26247689,0,0,0,689.7176926
37055,Dare,-0.631101142,4.5,35412,1562,28.95931604,14.01821954,22.6709347,1,0,0.28239015,513.9712801
37137,Pamlico,-0.294761068,2,12803,566,100,17.17041402,22.62014134,1,0,0.781066937,511.6707944
37103,Jones,-0.123848808,1,9776,473,100,19.68071635,20.66807611,0,0,0,427.1693701
37177,Tyrrell,-0.107434358,1,4090,600,100,23.53740869,6.816666667,0,0,0,46.46694444
37095,Hyde,-0.175688131,1,5507,1424,100,20.91806854,3.867275281,0,0,0,14.9558181
